Key,Mapping,Note,Physical Location
NUM (Layer 1),"DOUBLE-TAP Fn","Layer 1: redundant number/symbol pad. Intended for future 40% compatibility. Exact layout mirrors physical number row and includes shifted symbols. Toggle off with double-tap Fn or Esc.","Left thumb Fn key (double-tap)"
NAV (Layer 2),"HOLD Fn; TOGGLE Fn+Ctrl","Layer 2: navigation and secondary functions. WASD arrows, HJKL alternative, Home/End on Backspace/Enter, Page Up/Down on Shift+W/S, F1–F12 on top row, volume on -/=.","Left thumb Fn key (hold) or R4C12 Fn"
SYS (Layer 3),"HOLD Fn+Super","Layer 3: system and media controls. Power, sleep, wake, brightness on -/=.","Fn+Super"
MOUSE (Layer 4),TOGGLE SYS+M,"Layer 3: mouse controls; experimental. WASD mouse movement, IJKL navigation.","SYS layer + M"
0,"0",Physical number row.,"R1C1"
1,"1",Physical number row.,"R1C2"
2,"2",Physical number row.,"R1C3"
3,"3",Physical number row.,"R1C4"
4,"4",Physical number row.,"R1C5"
5,"5",Physical number row.,"R1C6"
6,"6",Physical number row.,"R1C7"
7,"7",Physical number row.,"R1C8"
8,"8",Physical number row.,"R1C9"
9,"9",Physical number row.,"R1C10"
-,"-","Physical key. On NAV layer: Volume Down. On SYS layer: Brightness Down.","R1C11"
_,SHIFT+-,"Shifted variant of -.",R1C11
=,"=","Physical key. On NAV layer: Volume Up. On SYS layer: Brightness Up.","R1C12"
+,SHIFT+=,"Shifted variant of =.",R1C12
`,"`","Physical key.","R2C1"
~,SHIFT+`,"Shifted variant of `.",R2C1
Q,"Q",,R2C2
W,"W",,R2C3
E,"E",,R2C4
R,"R",,R2C5
T,"T",,R2C6
Y,"Y",,R2C7
U,"U",,R2C8
I,"I",,R2C9
O,"O",,R2C10
P,"P",,R2C11
[,"[","Physical key. On NAV layer: ] (closing bracket).",R2C12
{,"SHIFT+[","Shifted variant of [.",R2C12
Esc,"ESC","Dedicated physical Escape key. No longer on Fn tap.","R3C1"
A,"A",,R3C2
S,"S",,R3C3
D,"D",,R3C4
F,"F",,R3C5
G,"G",,R3C6
H,"H",,R3C7
J,"J",,R3C8
K,"K",,R3C9
L,"L",,R3C10
;,";",,R3C11
:,SHIFT+;,"Shifted variant of ;.",R3C11
',"'","Physical key. Shift produces double quote.",R3C12
""",SHIFT+',"Shifted variant of '.",R3C12
Shift,"TAP: One-shot Shift; HOLD: Shift; DOUBLE-TAP: Toggle Caps Lock; TAP again: Disable Caps Lock","Stateful Shift replaces Caps Lock and duplicate Shift.","R4C1"
Z,"Z",,R4C2
X,"X",,R4C3
C,"C",,R4C4
