Key	Mapping	Note	Physical Location	Additional Info
NUM (Layer 1)	DOUBLE-TAP Fn	Redundant number/symbol pad	Left thumb Fn (double-tap)	Mirrors physical number row; toggle off with Esc
NAV (Layer 2)	HOLD Fn; TOGGLE Fn+Ctrl	Navigation and secondary functions	Left thumb Fn or R4C12 Fn	WASD arrows, HJKL alternative, Home/End on Backspace/Enter, F1–F12 on top row, volume on -/=
SYS (Layer 3)	HOLD Fn+Super	System and media controls	Fn+Super	Power, sleep, wake, brightness on -/=
MOUSE (Layer 4)	TOGGLE SYS+M	Mouse controls (experimental)	SYS layer + M	WASD mouse movement, IJKL navigation
0	0	Physical number row	R1C1	
1	1	Physical number row	R1C2	
2	2	Physical number row	R1C3	
3	3	Physical number row	R1C4	
4	4	Physical number row	R1C5	
5	5	Physical number row	R1C6	
6	6	Physical number row	R1C7	
7	7	Physical number row	R1C8	
8	8	Physical number row	R1C9	
9	9	Physical number row	R1C10	
-	-	Dual-purpose decrement key	R1C11	NAV: Volume Down; SYS: Brightness Down
_	SHIFT+-	Shifted variant of -	R1C11	
=	=	Dual-purpose increment key	R1C12	NAV: Volume Up; SYS: Brightness Up
+	SHIFT+=	Shifted variant of =	R1C12	
`	`	Physical key	R2C1	
~	SHIFT+`	Shifted variant of `	R2C1	
Q	Q		R2C2	
W	W		R2C3	
E	E		R2C4	
R	R		R2C5	
T	T		R2C6	
Y	Y		R2C7	
U	U		R2C8	
I	I		R2C9	
O	O		R2C10	
P	P		R2C11	
[	[	Physical key	R2C12	NAV: closing bracket
{	SHIFT+[	Shifted variant of [	R2C12	
Esc	ESC	Dedicated Escape key	R3C1	No longer on Fn tap
A	A		R3C2	
S	S		R3C3	
D	D		R3C4	
F	F		R3C5	
G	G		R3C6	
H	H		R3C7	
J	J		R3C8	
K	K		R3C9	
L	L		R3C10	
;	;		R3C11	
:	SHIFT+;	Shifted variant of ;	R3C11	
'	'	Physical key	R3C12	Shift produces double quote
double quote	SHIFT+'	Shifted variant of '	R3C12	
Shift	TAP: One-shot; HOLD: Normal; DOUBLE-TAP: Caps Lock	Stateful Shift	R4C1	Tap again to disable Caps Lock
Z	Z		R4C2	
X	X		R4C3	
C	C		R4C4	
V	V		R4C5	
B	B		R4C6	
N	N		R4C7	
M	M		R4C8	
,	,	Physical key	R4C9	
<	SHIFT+,	Shifted variant of ,	R4C9	
.	.	Physical key	R4C10	
>	SHIFT+.	Shifted variant of .	R4C10	
/	/	Physical key	R4C11	NAV: backslash
?	SHIFT+/	Shifted variant of /	R4C11	
Ctrl	CTRL	Left thumb cluster	Left thumb, leftmost	
Super	SUPER	Left thumb cluster	Left thumb, middle	
Fn	HOLD: NAV; DOUBLE-TAP: NUM	Layer control	Left thumb, rightmost	Fn+Ctrl: Toggle NAV; Fn+Super: SYS
Fn (redundant)	HOLD: NAV; DOUBLE-TAP: NUM	Redundant layer control	R4C12	One-handed right-side layer access
Space	TAP: Space; SHIFT: Tab	Editing Cluster	Right thumb, leftmost (1.75u)	NAV: transparent (remains Space)
Backspace	TAP: Backspace; SHIFT: Delete	Editing Cluster	Right thumb, middle	NAV: Home
Enter	ENTER	Editing Cluster	Right thumb, rightmost	Keycap: End; NAV: End
Left Alt	Not on base layer		—	Available via layer if needed
Right Alt	Not used		—	
Right Shift	Not used		—	
Right Ctrl	Not used		—	
Caps Lock	Integrated into Shift double-tap		—	No dedicated key
